county_code_x,district_code_x,district_name,county_name_x,enrolled_seniors_x,tested_seniors_x,num_over_benchmark_sat,pct_over_benchmark_sat,county_code_y,district_code_y,county_name_y,enrolled_seniors_y,tested_seniors_y,num_over_benchmark_act,pct_over_benchmark_act,rank,score,expenditures_per_pupil,income
1,161176,fremont unified,Alameda,2537,845,678,80.24,1,161176,Alameda,2537,511,473,92.56,789,64.22,11018,127374
1,161275,piedmont city unified,Alameda,231,78,61,78.21,1,161275,Alameda,231,116,110,94.83,909,225.57,16668,210889
1,161291,san leandro unified,Alameda,754,193,77,39.9,1,161291,Alameda,754,78,44,56.41,104,6.49,12258,71020
10,1062166,fresno unified,Fresno,4593,1048,323,30.82,10,1062166,Fresno,4593,574,202,35.19,587,41.41,13567,39488
10,1075127,mendota unified,Fresno,234,69,9,13.04,10,1075127,Fresno,234,82,7,8.54,808,72.56,11212,30085
13,1363107,calipatria unified,Imperial,91,27,5,18.52,13,1363107,Imperial,91,19,9,47.37,712,52.6,13804,30350
15,1563859,wasco union high,Kern,453,184,40,21.74,15,1563859,Kern,453,71,24,33.8,732,55.3,12037,37844
19,1964774,lynwood unified,Los Angeles,1072,285,53,18.6,19,1964774,Los Angeles,1072,160,28,17.5,531,36.42,12352,49461
19,1965128,whittier union high,Los Angeles,3048,1227,521,42.46,19,1965128,Los Angeles,3048,390,167,42.82,119,7.59,14025,71534
19,1973452,rowland unified,Los Angeles,1186,386,174,45.08,19,1973452,Los Angeles,1186,119,58,48.74,112,7.06,12009,71944
21,2165482,tamalpais union high,Marin,1233,435,361,82.99,21,2165482,Marin,1233,412,374,90.78,874,124.93,18416,130775
36,3675077,apple valley unified,San Bernardino,1086,316,118,37.34,36,3675077,San Bernardino,1086,82,42,51.22,751,57.87,8812,53184
37,3768031,coronado unified,San Diego,294,152,113,74.34,37,3768031,San Diego,294,128,100,78.13,592,41.63,12891,101520
37,3768130,grossmont union high,San Diego,5541,1514,886,58.52,37,3768130,San Diego,5541,940,566,60.21,303,20.37,10759,69219
39,3975499,tracy joint unified,San Joaquin,1515,483,247,51.14,39,3975499,San Joaquin,1515,160,84,52.5,7,0.29,10666,84256
43,4373387,milpitas unified,Santa Clara,829,335,249,74.33,43,4373387,Santa Clara,829,72,64,88.89,778,62.14,11069,125644
44,4469823,santa cruz city high,Santa Cruz,862,287,183,63.76,44,4469823,Santa Cruz,862,177,112,63.28,724,54.39,260,101094
1,161200,livermore valley joint unified,Alameda,1128,315,231,73.33,1,161200,Alameda,1128,249,201,80.72,747,57.64,11323,121121
13,1363149,holtville unified,Imperial,151,52,18,34.62,13,1363149,Imperial,151,29,9,31.03,447,30.26,13379,48333
19,1964683,las virgenes unified,Los Angeles,986,337,248,73.59,19,1964683,Los Angeles,986,322,269,83.54,794,65.92,11125,128000
